Region_Code,Region,Area_Code,Area,Electorate,Turnout,Valid_Votes,Leave
E12000007,London,E09000004,Bexley,170779,0.7528,128489,0.6295
E12000007,London,E09000005,Brent,186793,0.6514,121404,0.4026
E12000007,London,E09000006,Bromley,231473,0.7887,182432,0.4935
E12000007,London,E09000007,Camden,145425,0.6552,95133,0.2506
E12000007,London,E09000008,Croydon,245349,0.6981,171134,0.4571
E12000007,London,E09000009,Ealing,212991,0.7008,149041,0.396
E12000007,London,E09000010,Enfield,198387,0.6909,136906,0.4418
E12000007,London,E09000011,Greenwich,168967,0.6952,117365,0.4441
E12000007,London,E09000012,Hackney,163284,0.6518,106266,0.2152
E12000007,London,E09000013,Hammersmith and Fulham,114863,0.6995,80242,0.2998
E12000007,London,E09000014,Haringey,150098,0.7064,105846,0.2443
E12000007,London,E09000015,Harrow,162397,0.7226,117225,0.4537
E12000007,London,E09000016,Havering,183082,0.7602,139086,0.6966
E12000007,London,E09000017,Hillingdon,193033,0.6899,133022,0.5637
E12000007,London,E09000018,Hounslow,165050,0.698,115076,0.4894
E12000007,London,E09000019,Islington,144514,0.7039,101600,0.2478
E12000007,London,E09000020,Kensington and Chelsea,83042,0.6599,54739,0.3131
E12000007,London,E09000021,Kingston upon Thames,108838,0.784,85270,0.3839
E12000007,London,E09000022,Lambeth,210800,0.6744,141924,0.2138
E12000007,London,E09000023,Lewisham,197514,0.631,124473,0.3014
E12000007,London,E09000024,Merton,136352,0.7349,100100,0.3706
E12000007,London,E09000025,Newham,176985,0.5925,104699,0.4716
E12000007,London,E09000026,Redbridge,189843,0.6763,128233,0.4603
E12000007,London,E09000027,Richmond upon Thames,132632,0.8209,108806,0.3071
E12000007,London,E09000028,Southwark,195875,0.662,129502,0.2719
E12000007,London,E09000029,Sutton,140288,0.7601,106560,0.5372
E12000007,London,E09000030,Tower Hamlets,167820,0.646,108235,0.3254
E12000007,London,E09000031,Waltham Forest,162983,0.6669,108551,0.409
E12000007,London,E09000032,Wandsworth,219521,0.7198,157884,0.2497
E12000007,London,E09000033,Westminster,120524,0.6499,78196,0.3103
E12000001,North East,E06000001,Hartlepool,70341,0.6559,46100,0.6957
E12000001,North East,E06000002,Middlesbrough,94612,0.6489,61358,0.6548
E12000001,North East,E06000003,Redcar and Cleveland,103529,0.7026,72714,0.6619
E12000001,North East,E06000004,Stockton-on-Tees,141486,0.71,100415,0.6173
E12000001,North East,E06000005,Darlington,77662,0.7107,55166,0.5618
E12000001,North East,E06000047,County Durham,389507,0.6869,267398,0.5755
E12000001,North East,E06000048,Northumberland,240496,0.7435,178721,0.5411
E12000001,North East,E08000021,Newcastle upon Tyne,190735,0.6767,129003,0.493
E12000001,North East,E08000022,North Tyneside,156993,0.723,113462,0.534
E12000001,North East,E08000023,South Tyneside,115893,0.6827,79079,0.6205
E12000001,North East,E08000024,Sunderland,207221,0.6486,134324,0.6134
E12000001,North East,E08000020,Gateshead,145866,0.7062,102958,0.5685
E12000002,North West,E06000006,Halton,95289,0.6826,65005,0.5742
E12000002,North West,E06000007,Warrington,157042,0.7336,115144,0.5427
E12000002,North West,E06000008,Blackburn with Darwen,100117,0.6533,65321,0.5634
E12000002,North West,E06000009,Blackpool,102354,0.6542,66927,0.6746
E12000002,North West,E06000049,Cheshire East,285957,0.7736,221125,0.5118
E12000002,North West,E06000050,Cheshire West and Chester,259878,0.7451,193537,0.5068
E12000002,North West,E07000026,Allerdale,74426,0.7292,54238,0.5865
E12000002,North West,E07000027,Barrow-in-Furness,53194,0.6787,36074,0.6062
E12000002,North West,E07000028,Carlisle,80124,0.7454,59683,0.6014
E12000002,North West,E07000029,Copeland,54206,0.7006,37947,0.62
E12000002,North West,E07000030,Eden,41872,0.7582,31718,0.5332
E12000002,North West,E07000031,South Lakeland,81948,0.7978,65331,0.4714
E12000002,North West,E07000117,Burnley,64461,0.6725,43316,0.6661
E12000002,North West,E07000118,Chorley,84159,0.7552,63515,0.5683
E12000002,North West,E07000119,Fylde,61174,0.7557,46206,0.5696
E12000002,North West,E07000120,Hyndburn,62042,0.6474,40137,0.6619
E12000002,North West,E07000121,Lancaster,100567,0.7269,73041,0.5108
E12000002,North West,E07000122,Pendle,64534,0.7033,45335,0.6315
E12000002,North West,E07000123,Preston,94284,0.6872,64745,0.5331
E12000002,North West,E07000124,Ribble Valley,46148,0.7902,36442,0.5639
E12000002,North West,E07000125,Rossendale,52750,0.7243,38181,0.6068
E12000002,North West,E07000126,South Ribble,84573,0.7538,63724,0.5856
E12000002,North West,E07000127,West Lancashire,85834,0.7447,63869,0.5531
E12000002,North West,E07000128,Wyre,84471,0.7461,62979,0.6377
E12000002,North West,E08000001,Bolton,197109,0.701,138080,0.5829
E12000002,North West,E08000002,Bury,141600,0.7143,101028,0.5412
E12000002,North West,E08000003,Manchester,338064,0.5977,201814,0.3964
E12000002,North West,E08000004,Oldham,158084,0.68,107403,0.6086
E12000002,North West,E08000005,Rochdale,156621,0.6597,103231,0.6007
E12000002,North West,E08000006,Salford,173668,0.633,109815,0.5681
E12000002,North West,E08000007,Stockport,221162,0.7397,163489,0.4767
E12000002,North West,E08000008,Tameside,168047,0.6606,110947,0.6114
E12000002,North West,E08000009,Trafford,165294,0.7586,125311,0.4231
E12000002,North West,E08000010,Wigan,235982,0.6923,163273,0.639
E12000002,North West,E08000011,Knowsley,111647,0.6354,70903,0.5156
E12000002,North West,E08000012,Liverpool,317924,0.6408,203554,0.4181
E12000002,North West,E08000013,St. Helens,136096,0.6886,93679,0.5802
E12000002,North West,E08000014,Sefton,206298,0.7173,147878,0.4813
E12000002,North West,E08000015,Wirral,242568,0.7096,172000,0.483
S92000003,Scotland,S12000005,Clackmannanshire,37841,0.6723,25427,0.4222
S92000003,Scotland,S12000006,Dumfries and Galloway,115837,0.7141,82667,0.4694
S92000003,Scotland,S12000008,East Ayrshire,91977,0.6291,57833,0.414
S92000003,Scotland,S12000010,East Lothian,77788,0.7173,55764,0.354
S92000003,Scotland,S12000011,East Renfrewshire,69575,0.7613,52941,0.2568
S92000003,Scotland,S12000013,Eilean Siar,21259,0.7018,14903,0.4476
S92000003,Scotland,S12000014,Falkirk,117392,0.6755,79258,0.4324
S92000003,Scotland,S12000015,Fife,272995,0.6678,182220,0.4141
S92000003,Scotland,S12000017,Highland,175563,0.7161,125657,0.4405
S92000003,Scotland,S12000018,Inverclyde,58624,0.6605,38698,0.362
S92000003,Scotland,S12000019,Midlothian,66758,0.6815,45468,0.3794
S92000003,Scotland,S12000020,Moray,71370,0.6745,48106,0.4987
S92000003,Scotland,S12000021,North Ayrshire,104572,0.6459,67504,0.4312
