id,Name,Total pop. 1981,Total pop. 1991,Pop. density 1981,Pop. density 1991,% 0-14 years,% 15-24 years,% 25-64 years,% 65 or more years,% male 1981,% female 1981,% male 1991,% female 1991,Abs. pop. change from 1981 to 1991,% pop. change from 1981 to 1991,% female among employed 1991,% unemployed in total pop. 1991,% female among unemployed 1991,% employed in agriculture 1981,% employed in industry 1981,% employed in services 1981,% employed in agriculture 1991,% employed in industry 1991,% employed in services 1991,% pop. no primary school education 1981,% pop. with primary school education 1981,% pop. with preparatory school education 1981,% pop. with high school education 1981,% pop. no primary school education 1991,% pop. with primary school education 1991,% pop. with preparatory school education 1991,% pop. with high school education 1991,total employed in agriculture 1991,total employed in industry 1991,total employed in services 1991,N pop. no primary school education 1991,N pop. with primary school education 1991,N pop. with preparatory school education 1991,N. pop. with high school education 1991
1102,Arruda dos Vinhos,8875,9364,114.202,120.495,17.06,14.40,54.09,14.46,50.29,49.71,49.84,50.16,489,5.51,31.18,2.14,67.00,26.91,38.60,34.49,15.09,30.50,54.40,53.85,34.76,3.75,7.638,20.18,30.31,7.42,5.00,576,1164,2076,1890,2838,695,468
1103,Azambuja,19768,19568,75.551,74.787,18.28,14.88,50.60,16.25,49.27,50.73,48.68,51.32,-200,-1.01,34.79,3.34,65.44,34.54,35.35,30.10,17.90,34.71,47.39,54.22,32.93,4.53,8.326,17.59,27.79,5.22,5.85,1327,2574,3514,3442,5437,1022,1144
1104,Cadaval,14474,13516,83.102,77.601,16.97,13.50,49.60,19.93,49.9,50.1,49.19,50.81,-958,-6.62,30.00,2.12,73.08,53.09,20.64,26.27,31.20,27.34,41.46,57.43,31.88,3.10,7.595,19.49,29.79,5.41,4.20,1454,1274,1932,2634,4027,731,568
1105,Cascais,141498,153294,1457.75,1579.276,18.34,15.97,54.14,11.56,47.97,52.03,47.92,52.08,11796,8.34,44.22,3.37,57.76,1.80,30.62,67.57,0.76,24.20,75.05,39.37,34.97,15.94,9.718,8.92,21.13,4.51,12.95,529,16911,52450,13679,32397,6906,19845
1106,Lisboa,807937,663394,9636.423,7912.43,14.22,14.94,52.07,18.78,45.83,54.17,45.65,54.35,-144543,-17.89,46.01,3.32,54.99,0.51,25.42,74.07,0.39,20.07,79.54,37.26,39.49,15.56,7.675,8.51,25.45,4.19,11.11,1097,56423,223558,56442,168856,27770,73734
1107,Loures,276467,322158,1419.716,1654.349,20.10,16.64,55.09,8.17,49.27,50.73,48.85,51.15,45691,16.53,42.52,3.14,60.37,2.03,39.20,58.76,0.94,29.38,69.68,40.84,39.32,9.89,9.950,10.29,27.12,5.56,10.09,1446,45039,106834,33141,87365,17916,32498
1108,Lourinha,21245,21596,145.446,147.849,21.12,14.72,49.54,14.61,50.18,49.82,49.62,50.38,351,1.65,30.61,1.99,72.09,53.55,22.83,23.62,40.87,24.79,34.34,57.61,31.00,2.93,8.456,18.56,26.65,8.01,4.02,3315,2011,2786,4008,5755,1730,868
1109,Mafra,43899,43731,150.993,150.415,18.77,14.91,51.95,14.37,49.77,50.23,49.09,50.91,-168,-0.38,34.72,1.95,67.45,27.87,33.73,38.40,13.51,36.21,50.28,51.94,35.27,4.58,8.212,15.25,29.39,7.48,5.77,2412,6462,8974,6669,12853,3270,2525
1110,Oeiras,149328,151342,3257.592,3301.527,18.32,16.47,54.75,10.46,48.14,51.86,47.74,52.26,2014,1.35,45.54,3.41,56.74,1.01,29.02,69.97,0.51,22.64,76.85,37.89,32.80,18.86,10.444,7.33,18.69,4.08,13.83,359,15815,53694,11092,28282,6168,20925
1111,Sintra,226428,260951,716.431,825.664,19.51,16.29,55.00,9.21,48.89,51.11,48.68,51.32,34523,15.25,42.77,3.39,63.58,3.58,40.37,56.05,1.51,32.97,65.52,39.93,38.04,12.17,9.864,10.11,24.83,5.67,11.84,1887,41076,81627,26375,64791,14790,30884
