id,Name,Total pop. 1981,Total pop. 1991,Pop. density 1981,Pop. density 1991,% 0-14 years,% 15-24 years,% 25-64 years,% 65 or more years,% male 1981,% female 1981,% male 1991,% female 1991,Abs. pop. change from 1981 to 1991,% pop. change from 1981 to 1991,% female among employed 1991,% unemployed in total pop. 1991,% female among unemployed 1991,% employed in agriculture 1981,% employed in industry 1981,% employed in services 1981,% employed in agriculture 1991,% employed in industry 1991,% employed in services 1991,% pop. no primary school education 1981,% pop. with primary school education 1981,% pop. with preparatory school education 1981,% pop. with high school education 1981,% pop. no primary school education 1991,% pop. with primary school education 1991,% pop. with preparatory school education 1991,% pop. with high school education 1991,total employed in agriculture 1991,total employed in industry 1991,total employed in services 1991,N pop. no primary school education 1991,N pop. with primary school education 1991,N pop. with preparatory school education 1991,N. pop. with high school education 1991
1411,Ferreira do Zezere,11099,9954,60.229,54.016,17.40,12.90,45.58,24.12,47.19,52.81,47.45,52.55,-1145,-10.32,30.19,1.16,60.00,46.02,33.54,20.44,22.22,44.87,32.92,61.96,28.63,2.18,7.233,22.30,30.38,6.61,2.91,716,1446,1061,2220,3024,658,290
1412,Golega,5963,6072,77.968,79.393,17.42,13.55,49.75,19.27,47.69,52.31,47.28,52.72,109,1.83,35.09,4.74,74.65,34.01,30.60,35.39,20.27,28.75,50.98,55.95,32.07,4.78,7.191,18.92,25.18,5.29,6.21,454,644,1142,1149,1529,321,377
1413,Macao,12234,10060,30.522,25.098,12.21,11.53,45.21,31.05,48.1,51.9,48.23,51.77,-2174,-17.77,33.66,2.55,67.32,41.23,31.78,26.99,26.29,36.17,37.53,59.46,29.55,4.86,6.128,23.26,27.08,5.72,4.27,889,1223,1269,2340,2724,575,430
1414,Rio Maior,19894,20119,73.094,73.92,18.87,15.47,50.02,15.64,49.24,50.76,48.96,51.04,225,1.13,33.63,1.68,53.85,37.48,33.22,29.30,20.12,40.81,39.07,54.79,32.78,4.09,8.337,17.82,27.31,7.05,5.00,1590,3226,3088,3586,5495,1419,1005
1415,Salvaterra de Magos,18962,18979,77.479,77.549,18.32,15.53,51.86,14.29,49.02,50.98,48.92,51.08,17,0.09,38.58,3.99,76.09,34.68,39.60,25.72,27.94,37.28,34.78,57.12,30.53,3.59,8.753,24.59,25.57,7.83,4.42,2274,3034,2831,4667,4852,1486,839
1416,Santarem,62896,62621,112.659,112.166,17.53,14.16,50.48,17.83,48.29,51.71,48,52,-275,-0.44,38.39,2.37,62.93,19.15,31.36,49.49,9.61,32.97,57.42,50.91,33.60,7.74,7.751,15.23,25.95,5.80,7.54,2445,8390,14612,9539,16252,3635,4719
1417,Sardoal,5022,4430,54.62,48.182,16.91,12.42,45.96,24.72,47.99,52.01,48.56,51.44,-592,-11.79,29.84,2.33,72.82,17.73,50.00,32.27,10.18,44.20,45.62,57.85,30.51,4.49,7.156,17.18,29.46,7.86,5.06,144,625,645,761,1305,348,224
1418,Tomar,45672,43139,130.316,123.089,17.72,14.95,49.80,17.53,47.56,52.44,47.68,52.32,-2533,-5.55,36.71,3.26,67.71,11.80,42.98,45.22,7.14,37.27,55.59,49.24,35.21,7.47,8.088,15.78,26.84,6.10,7.60,1151,6004,8956,6809,11577,2633,3278
1419,Torres Novas,37399,37692,138.771,139.858,18.04,14.64,50.37,16.96,47.95,52.05,48.17,51.83,293,0.78,36.66,2.55,73.42,11.49,44.17,44.34,6.26,41.26,52.48,50.20,34.27,7.35,8.184,13.28,26.21,6.25,6.75,933,6149,7821,5004,9878,2355,2543
1420,Vila Nova da Barquinha,8167,7553,166.864,154.319,16.99,15.64,52.42,14.96,49.04,50.96,48.51,51.49,-614,-7.52,31.24,3.79,68.18,4.05,34.00,61.95,3.77,23.76,72.46,45.07,38.44,7.43,9.059,12.47,31.74,5.11,7.44,102,642,1958,942,2397,386,562
1421,Ourem,41376,40185,99.342,96.483,20.10,15.75,48.01,16.14,47.13,52.87,47.47,52.53,-1191,-2.88,36.31,1.28,66.99,40.69,31.80,27.51,13.42,41.96,44.62,55.61,31.15,4.06,9.185,19.71,25.07,9.01,4.33,2082,6510,6922,7920,10074,3621,1739
1501,Alcacer do Sal,16370,14512,11.061,9.806,18.12,13.58,51.38,16.92,50.04,49.96,48.67,51.33,-1858,-11.35,34.36,4.42,71.92,44.78,28.33,26.90,38.43,24.38,37.19,59.34,30.49,3.32,6.858,27.29,29.21,4.62,3.58,2292,1454,2218,3961,4239,671,519
1502,Alcochete,11246,10169,119.023,107.624,17.29,16.41,51.96,14.34,49.32,50.68,48.82,51.18,-1077,-9.58,38.47,4.79,67.56,20.50,50.09,29.41,13.17,43.90,42.93,50.78,35.19,5.16,8.873,17.04,28.76,4.49,7.09,556,1853,1812,1733,2925,457,721
1503,Almada,147690,151783,2110.581,2169.072,17.77,15.72,54.79,11.72,48.93,51.07,48.45,51.55,4093,2.77,41.56,4.23,59.46,1.69,41.21,57.10,0.93,28.53,70.54,40.58,38.49,12.12,8.813,10.26,25.99,4.63,10.66,608,18600,45996,15578,39446,7031,16186
1504,Barreiro,88052,85768,2796.012,2723.485,17.40,16.90,54.34,11.36,49.08,50.92,48.81,51.19,-2284,-2.59,39.43,5.36,62.79,0.85,49.34,49.81,0.69,33.85,65.46,40.64,39.09,10.19,10.089,10.01,28.16,4.67,9.85,239,11731,22690,8588,24149,4007,8447
1505,Grandola,16042,13767,19.928,17.102,16.87,11.88,52.31,18.95,50.18,49.82,49.1,50.9,-2275,-14.18,32.11,3.83,67.36,35.80,29.95,34.25,23.38,23.42,53.19,60.90,28.37,3.95,6.782,28.79,26.96,5.58,4.40,1193,1195,2714,3964,3712,768,606
1506,Moita,53240,65086,966.594,1181.663,21.95,15.71,52.18,10.17,49.39,50.61,49.12,50.88,11846,22.25,37.93,6.12,63.22,3.84,56.42,39.74,1.86,42.48,55.66,46.27,37.64,6.96,9.123,14.50,26.61,5.36,7.71,460,10505,13762,9437,17322,3490,5021
1507,Montijo,36849,36038,106.084,103.749,17.90,15.22,53.00,13.87,48.98,51.02,48.22,51.78,-811,-2.20,39.85,3.51,65.01,17.77,46.84,35.39,13.27,39.73,47.00,51.32,33.70,6.55,8.435,17.35,25.58,5.31,7.32,2021,6053,7160,6251,9217,1912,2639
1508,Palmela,36933,43857,79.973,94.966,19.03,15.09,53.85,12.04,49.75,50.25,49,51,6924,18.75,37.45,4.18,63.54,29.17,41.12,29.70,18.01,36.28,45.72,51.83,34.90,4.92,8.348,19.41,26.90,5.95,6.36,3280,6608,8328,8513,11799,2611,2788
1509,Santiago do Cacem,29191,31475,27.575,29.732,19.71,12.62,52.69,14.97,50.09,49.91,49.28,50.72,2284,7.82,32.76,4.28,66.42,28.50,38.50,33.01,17.40,35.32,47.27,57.02,30.14,5.82,7.019,21.90,24.30,5.66,7.20,2040,4140,5541,6893,7647,1781,2266
1510,Seixal,89169,116912,952.844,1249.3,21.53,16.03,55.50,6.94,49.69,50.31,49.25,50.75,27743,31.11,40.00,4.62,64.33,1.10,52.70,46.20,0.48,34.61,64.92,41.18,38.33,10.12,10.375,10.15,24.60,5.51,11.15,249,18008,33780,11868,28763,6443,13038
1511,Sesimbra,23103,27246,118.49,139.739,18.62,15.36,53.02,13.00,50.13,49.87,50.12,49.88,4143,17.93,32.46,2.94,67.71,28.90,29.89,41.21,15.52,28.19,56.29,50.14,35.61,5.70,8.554,14.77,28.72,5.99,6.29,1688,3067,6123,4023,7826,1631,1714
1512,Setubal,98366,103634,576.673,607.557,19.90,15.45,52.83,11.82,49.02,50.98,48.75,51.25,5268,5.36,39.29,5.59,61.58,6.00,46.97,47.03,3.76,34.96,61.28,45.36,35.72,10.06,8.860,13.33,24.80,4.71,9.61,1563,14517,25447,13814,25702,4880,9957
1513,Sines,12075,12347,60.688,62.055,20.59,14.43,52.64,12.34,50.57,49.43,49.95,50.05,272,2.25,32.81,4.18,77.71,21.72,37.96,40.32,14.14,30.95,54.91,51.15,33.80,6.65,8.395,18.20,25.65,5.69,7.69,715,1565,2776,2247,3167,702,950
1601,Arcos de Valdevez,31156,26976,69.874,60.499,19.91,13.20,44.83,22.06,43.49,56.51,44.46,55.54,-4180,-13.42,46.92,1.33,57.50,70.30,14.54,15.16,50.98,19.40,29.62,63.54,23.75,1.62,11.088,23.80,23.47,5.90,1.89,4656,1772,2705,6421,6330,1591,511
1602,Caminha,15883,16207,122.497,124.996,20.07,14.92,47.72,17.30,44.49,55.51,45.68,54.32,324,2.04,41.00,1.75,61.48,40.00,28.18,31.82,21.95,32.46,45.58,52.35,33.78,5.00,8.879,13.41,29.53,9.36,5.07,1350,1996,2803,2174,4786,1517,821
1603,Melgaco,13246,11018,55.413,46.093,15.80,13.18,47.96,23.06,43.7,56.3,43.06,56.94,-2228,-16.82,44.99,0.99,50.46,67.41,15.55,17.04,51.18,16.64,32.18,58.56,29.16,2.65,9.638,21.27,24.45,6.22,2.60,1845,600,1160,2344,2694,685,286
1604,Moncao,23799,21799,112.52,103.064,18.06,13.70,48.66,19.58,44.36,55.64,45.07,54.93,-2000,-8.40,47.62,1.22,48.69,57.42,22.26,20.32,45.82,19.39,34.79,60.40,27.61,2.69,9.302,18.73,25.24,8.17,2.83,4129,1747,3135,4082,5503,1780,618
1605,Paredes de Coura,11311,10442,81.952,75.656,18.41,14.15,46.23,21.22,45.58,54.42,46.69,53.31,-869,-7.68,48.88,3.11,44.92,69.25,14.59,16.16,46.86,20.38,32.76,61.47,26.93,1.64,9.948,25.69,25.62,7.69,2.36,2014,876,1408,2683,2675,803,246
1606,Ponte da Barca,13999,13142,75.769,71.13,22.56,16.13,44.60,16.71,44.93,55.07,46.02,53.98,-857,-6.12,44.21,1.51,60.30,64.57,18.44,17.00,43.79,23.41,32.79,61.07,24.67,1.78,12.483,25.37,24.49,6.94,2.32,2110,1128,1580,3334,3219,912,305
1607,Ponte de Lima,43797,43421,136.354,135.184,23.54,18.37,43.82,14.28,46.01,53.99,46.86,53.14,-376,-0.86,42.79,1.91,53.49,54.61,26.60,18.79,34.39,36.09,29.52,57.21,27.80,2.15,12.841,19.35,24.99,12.23,2.41,5923,6217,5084,8401,10851,5310,1048
1608,Valenca,13948,14815,118.777,126.16,18.55,14.36,49.33,17.76,45.75,54.25,46.7,53.3,867,6.22,39.97,2.42,53.07,39.98,31.23,28.79,18.86,30.74,50.40,58.19,30.09,3.26,8.456,15.49,29.11,8.41,4.71,1049,1710,2803,2295,4313,1246,698
1609,Viana do Castelo,81009,83095,257.695,264.331,21.32,16.68,48.62,13.38,46.33,53.67,46.37,53.63,2086,2.58,43.35,2.72,62.56,20.24,45.41,34.36,11.85,43.69,44.47,50.86,32.21,6.48,10.451,13.38,25.19,10.65,6.03,4022,14831,15095,11119,20929,8850,5011
1610,Vila Nova de Cerveira,8666,9144,79.9,84.308,18.95,15.08,47.10,18.87,44.81,55.19,46.86,53.14,478,5.52,41.55,1.20,45.45,46.90,28.80,24.30,22.41,35.40,42.20,59.83,27.49,3.36,9.319,16.01,27.92,7.45,4.17,735,1161,1384,1464,2553,681,381
1701,Alijo,18846,16327,63.333,54.868,21.57,16.10,45.97,16.35,49.24,50.76,49.39,50.61,-2519,-13.37,33.10,1.99,65.85,62.02,14.16,23.82,46.56,15.04,38.41,53.85,32.25,3.16,10.735,18.33,29.98,5.93,3.33,2536,819,2092,2992,4895,969,543
1702,Boticas,8773,7936,27.211,24.615,19.67,14.38,46.85,19.10,49.75,50.25,50.43,49.57,-837,-9.54,38.44,1.55,60.98,78.29,10.62,11.09,58.74,12.39,28.88,61.64,28.02,1.43,8.906,26.83,26.12,6.02,1.74,1788,377,879,2129,2073,478,138
1703,Chaves,45883,40940,77.712,69.34,20.12,16.19,48.05,15.65,49.3,50.7,48.96,51.04,-4943,-10.77,32.18,2.14,56.78,45.24,20.02,34.74,29.45,18.87,51.68,52.03,32.10,5.51,10.362,17.75,25.43,5.93,5.41,4081,2615,7161,7267,10413,2429,2214
1704,Mesao Frio,6335,5519,235.94,205.549,24.81,17.78,44.63,12.79,48.95,51.05,48.41,51.59,-816,-12.88,25.72,2.74,68.21,44.44,23.62,31.94,34.07,27.81,38.12,57.72,29.28,2.64,10.355,21.58,25.06,5.29,2.39,588,480,658,1191,1383,292,132
1705,Mondim de Basto,9904,9518,57.625,55.379,26.66,19.76,40.25,13.33,48.91,51.09,49.67,50.33,-386,-3.90,29.41,1.79,50.59,54.87,24.06,21.07,37.35,28.77,33.88,60.51,23.85,2.07,13.567,23.97,24.36,7.90,2.64,988,761,896,2281,2319,752,251
1706,Montalegre,19403,15464,24.068,19.182,20.18,13.44,45.82,20.56,50.94,49.06,50.23,49.77,-3939,-20.30,33.45,3.30,45.10,73.56,12.79,13.65,56.28,12.62,31.10,58.37,29.20,2.75,9.677,26.44,24.83,5.42,3.34,2751,617,1520,4088,3840,838,517
1707,Murca,8518,7371,44.983,38.926,22.18,15.51,45.75,16.57,49.87,50.13,49.27,50.73,-1147,-13.47,32.44,2.18,49.69,63.98,15.91,20.11,46.96,18.73,34.30,56.66,30.27,2.85,10.228,18.32,25.65,5.77,2.75,1083,432,791,1350,1891,425,203
1708,Peso da Regua,22472,21567,233.791,224.376,22.83,18.80,46.02,12.35,48.55,51.45,48.46,51.54,-905,-4.03,34.57,3.15,59.79,35.10,24.37,40.52,28.77,22.46,48.77,53.55,30.90,4.28,11.271,17.10,27.88,5.91,4.77,2238,1747,3793,3687,6012,1274,1028
1709,Ribeira de Pena,10796,8504,49.6,39.07,23.79,16.39,43.44,16.38,49.75,50.25,50.02,49.98,-2292,-21.23,27.98,1.02,62.07,66.68,13.97,19.34,56.15,15.71,28.14,60.16,25.92,1.82,12.094,29.10,24.13,6.26,2.13,1419,397,711,2475,2052,532,181
1710,Sabrosa,10219,7020,65.318,44.871,22.38,16.34,43.83,17.45,36.21,63.79,49.49,50.51,-3199,-31.30,35.66,1.52,61.68,68.00,13.23,18.77,43.18,19.07,37.75,58.71,28.65,2.86,9.784,21.47,28.08,6.42,3.28,969,428,847,1507,1971,451,230
1711,Santa Marta de Penaguiao,9050,7478,129.323,106.859,21.01,15.65,45.29,18.05,48.71,51.29,48.74,51.26,-1572,-17.37,30.35,2.34,61.71,58.19,20.85,20.96,47.39,20.69,31.92,56.89,29.56,2.69,10.870,28.96,35.14,7.40,3.80,1461,638,984,2166,2628,553,284
1712,Valpacos,26066,22586,47.131,40.838,20.03,16.09,46.71,17.18,49.62,50.38,49.34,50.66,-3480,-13.35,34.79,1.21,51.09,75.07,11.03,13.90,61.31,13.15,25.54,56.22,31.37,1.95,10.467,23.32,27.85,6.24,2.33,5230,1122,2179,5267,6290,1409,527
1713,Vila Pouca de Aguiar,20121,17081,46.503,39.477,23.10,16.19,45.67,15.04,49.5,50.5,49.99,50.01,-3040,-15.11,30.17,1.76,59.00,53.81,24.63,21.56,40.92,27.72,31.36,54.89,31.44,2.29,11.383,20.78,27.92,7.24,2.83,2383,1614,1826,3550,4769,1236,483
1714,Vila Real,47020,46300,124.5,122.594,21.17,18.20,47.80,12.84,48.2,51.8,48.3,51.7,-720,-1.53,38.22,3.30,58.94,34.44,22.79,42.77,14.22,23.23,62.55,51.45,30.21,7.30,11.047,15.12,24.71,6.83,6.67,2335,3813,10268,7001,11439,3161,3086
1801,Armamar,9426,8677,83.981,77.308,21.02,18.57,43.68,16.73,49.08,50.92,49.12,50.88,-749,-7.95,26.15,1.92,43.71,65.93,15.29,18.78,53.04,17.47,29.50,60.38,25.45,1.93,12.239,18.12,27.44,8.52,2.90,1424,469,792,1572,2381,739,252
1802,Carregal do Sal,11137,10992,97.934,96.658,21.05,14.17,47.38,17.39,47.12,52.88,48.46,51.54,-145,-1.30,31.02,2.25,61.94,40.89,35.46,23.65,20.51,41.99,37.50,57.93,30.14,2.88,9.056,16.56,28.70,6.96,3.36,703,1439,1285,1820,3155,765,369
1803,Castro Daire,20411,18156,54.249,48.255,21.07,14.52,44.28,20.13,48.41,51.59,48.96,51.04,-2255,-11.05,37.06,1.59,74.39,67.61,16.48,15.92,54.31,18.33,27.37,62.40,25.65,1.65,10.297,27.00,28.32,7.47,1.88,3473,1172,1750,4902,5141,1357,342
1804,Cinfaes,25619,23489,105.991,97.178,22.64,17.93,43.51,15.92,48.04,51.96,48.49,51.51,-2130,-8.31,35.05,2.11,45.86,49.79,30.03,20.18,35.74,35.77,28.49,58.08,29.28,1.35,11.287,21.85,27.11,11.01,1.76,2973,2976,2370,5133,6368,2586,413
1805,Lamego,32833,30164,196.947,180.937,22.11,18.99,45.71,13.19,47.91,52.09,48.26,51.74,-2669,-8.13,33.66,3.66,63.26,40.53,24.11,35.37,21.81,28.44,49.74,54.33,29.45,4.34,11.888,17.66,24.99,9.18,3.88,2299,2998,5243,5326,7537,2770,1170
1806,Mangualde,21438,21808,97.128,98.804,20.71,15.20,47.26,16.83,47.95,52.05,48.19,51.81,370,1.73,34.25,1.83,52.88,36.64,34.85,28.51,16.47,43.55,39.98,53.94,33.36,4.03,8.664,15.92,29.20,8.35,3.56,1225,3240,2974,3472,6368,1822,776
1807,Moimenta da Beira,12809,12317,58.289,56.05,23.05,16.57,43.73,16.65,48.01,51.99,48.21,51.79,-492,-3.84,31.44,1.65,56.65,52.79,19.90,27.32,39.95,20.01,40.04,58.10,28.68,3.10,10.122,19.40,27.32,7.86,2.60,1667,835,1671,2390,3365,968,320
1808,Mortagua,11291,10662,45.42,42.89,19.67,13.87,49.87,16.59,48.32,51.68,48.86,51.14,-629,-5.57,36.38,2.36,67.46,46.30,32.37,21.32,34.93,34.64,30.43,54.36,34.43,3.10,8.111,16.19,32.25,7.57,3.40,1450,1438,1263,1726,3439,807,363
1809,Nelas,15069,14618,117.819,114.292,20.91,14.17,48.55,16.38,48.14,51.86,48.93,51.07,-451,-2.99,34.63,2.67,53.20,44.54,31.04,24.43,24.20,35.55,40.25,52.78,33.81,4.79,8.619,13.11,31.23,5.58,4.57,1163,1708,1934,1916,4565,815,668
1810,Oliveira de Frades,10391,10584,70.471,71.78,22.24,15.10,45.33,17.33,47.51,52.49,47.98,52.02,193,1.86,45.21,1.93,49.02,69.16,15.64,15.20,42.59,26.60,30.81,55.43,33.01,2.76,8.792,19.80,29.84,9.50,3.59,1854,1158,1341,2096,3158,1005,380
1811,Penalva do Castelo,10172,9166,74.833,67.432,21.74,14.28,44.09,19.89,48.34,51.66,48.35,51.65,-1006,-9.89,38.71,1.13,44.23,61.04,22.27,16.69,42.21,28.88,28.91,60.96,28.08,1.80,9.157,24.19,27.20,6.71,1.84,1460,999,1000,2217,2493,615,169
1812,Penedono,4189,3731,31.567,28.116,20.53,14.47,45.16,19.83,47.7,52.3,47.76,52.24,-458,-10.93,28.50,1.47,70.91,58.01,20.96,21.04,52.61,15.94,31.45,59.41,28.39,2.99,9.208,20.34,27.45,5.90,3.00,624,189,373,759,1024,220,112
1813,Resende,15356,13675,125.141,111.442,22.22,18.28,42.52,16.97,48.29,51.71,48.73,51.27,-1681,-10.95,34.58,0.95,60.00,69.98,12.66,17.35,46.74,20.58,32.68,61.03,25.80,1.54,11.625,27.89,26.88,5.05,1.65,2064,909,1443,3814,3676,691,226
1814,Santa Comba Dao,14099,12209,125.28,108.486,20.45,15.24,47.11,17.20,48.29,51.71,47.91,52.09,-1890,-13.41,29.23,2.54,55.16,33.43,35.14,31.43,14.07,41.26,44.67,52.96,34.34,3.49,9.212,14.64,29.29,7.87,4.47,540,1584,1715,1788,3576,961,546
1815,Sao Joao da Pesqueira,7499,9581,28.027,35.809,23.70,14.12,44.21,16.06,66.9,33.1,49.8,50.2,2082,27.76,24.55,1.48,61.97,69.89,14.78,15.33,61.41,15.11,23.47,59.11,28.69,2.14,10.055,19.52,28.09,6.81,2.34,1991,490,761,1870,2691,652,224
1816,Sao Pedro do Sul,21220,19985,60.858,57.316,20.01,14.68,45.31,20.00,46.51,53.49,47.68,52.32,-1235,-5.82,42.93,1.90,62.11,67.05,14.27,18.68,45.58,21.53,32.89,59.33,28.92,2.34,9.403,20.78,28.08,9.12,2.88,3577,1690,2581,4152,5611,1823,575
1817,Satao,13587,13342,68.483,67.248,22.75,16.54,44.19,16.52,47.93,52.07,48.28,51.72,-245,-1.80,39.66,2.15,64.11,60.94,21.68,17.37,36.02,25.58,38.40,57.69,29.99,1.73,10.588,22.49,26.72,9.04,2.40,1831,1300,1952,3001,3565,1206,320
1818,Sernancelhe,11194,9703,48.371,41.928,20.06,17.93,46.87,15.14,48.74,51.26,49.02,50.98,-1491,-13.32,26.53,2.25,51.38,68.50,15.53,15.96,58.01,18.14,23.86,56.57,31.20,2.07,10.156,12.68,21.19,4.99,1.68,1612,504,663,1230,2056,484,163
1819,Tabuaco,8521,7901,62.784,58.215,23.19,16.10,44.37,16.34,48.46,51.54,48.68,51.32,-620,-7.28,27.31,1.66,72.52,56.24,19.43,24.33,45.61,21.26,33.13,58.08,28.63,2.63,10.658,18.82,26.95,6.66,2.49,1191,555,865,1487,2129,526,197
1820,Tarouca,9368,9579,92.296,94.374,23.46,20.46,42.75,13.33,48.39,51.61,48.92,51.08,211,2.25,34.44,1.17,53.57,61.89,18.49,19.62,36.18,25.00,38.82,59.99,25.58,1.71,12.716,17.37,25.56,8.73,2.19,1346,930,1444,1664,2448,836,210
1821,Tondela,35906,32049,96.198,85.865,18.94,15.02,47.55,18.49,47.77,52.23,47.73,52.27,-3857,-10.74,34.90,2.05,58.05,53.14,26.23,20.62,31.98,33.95,34.07,55.49,31.32,3.54,9.653,16.35,28.43,8.45,3.34,3671,3898,3911,5241,9110,2709,1069
1822,Vila Nova de Paiva,6420,6088,36.196,34.324,22.88,16.20,43.20,17.72,46.88,53.12,47.72,52.28,-332,-5.17,41.90,0.92,51.79,55.24,22.52,22.24,43.30,16.74,39.95,60.75,25.08,3.06,11.116,23.00,24.87,8.08,3.22,1112,430,1026,1400,1514,492,196
1823,Viseu,83261,83601,164.158,164.828,22.20,17.24,47.64,12.92,47.9,52.1,48.17,51.83,340,0.41,39.22,2.44,61.94,32.19,26.42,41.39,14.39,28.46,57.15,50.64,32.27,6.47,10.620,16.34,24.69,8.08,5.84,4598,9095,18264,13659,20639,6754,4879
1824,Vouzela,13407,12477,69.956,65.103,19.70,15.13,44.99,20.18,47.41,52.59,48.15,51.85,-930,-6.94,40.93,1.80,56.00,73.65,13.77,12.57,36.97,33.87,29.16,58.30,29.86,2.92,8.929,18.29,28.90,8.78,3.43,1850,1695,1459,2282,3606,1095,428
