id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
22,Cluster 22,22,86,39289.89,28378.58,47110.35,792.42,11/04/2015 13:17:57,12/05/2015 10:23:04,2667907,44465.12,741.09,30.88,1.03,0.08
23,Cluster 23,23,117,53895.43,38303.43,64242.20,1440.64,05/04/2013 12:33:49,08/05/2013 19:19:24,2875535,47925.58,798.76,33.28,1.11,0.09
24,Cluster 24,24,35,31224.95,26216.14,40014.68,402.25,03/04/2013 12:34:04,22/04/2013 18:37:17,1663393,27723.22,462.05,19.25,0.64,0.05
25,Cluster 25,25,54,20310.76,22124.97,28865.29,266.77,06/04/2010 15:52:26,06/05/2010 20:24:16,2608310,43471.83,724.53,30.19,1.01,0.08
26,Cluster 26,26,55,8101.20,20629.33,21750.14,92.07,18/03/2013 14:23:07,14/04/2013 12:18:19,2325312,38755.20,645.92,26.91,0.90,0.07
27,Cluster 27,27,56,33108.56,27605.73,38826.89,494.00,04/03/2016 13:36:28,20/04/2016 18:34:36,4078688,67978.13,1132.97,47.21,1.57,0.13
28,Cluster 28,28,89,35308.46,22613.62,36877.38,475.69,16/03/2013 12:55:54,05/05/2013 17:21:55,4335961,72266.02,1204.43,50.18,1.67,0.14
29,Cluster 29,29,11,5517.20,7173.65,9045.18,21.29,31/01/2009 12:00:28,15/02/2009 02:40:56,1262428,21040.47,350.67,14.61,0.49,0.04
30,Cluster 30,30,66,26296.00,31901.35,39923.44,345.05,27/04/2011 11:35:47,28/05/2011 11:40:18,2678671,44644.52,744.08,31.00,1.03,0.08
31,Cluster 31,31,110,59948.50,29327.46,64424.20,938.74,11/03/2012 10:42:12,01/05/2012 22:47:11,4449899,74164.98,1236.08,51.50,1.72,0.14
32,Cluster 32,32,57,34285.74,15917.59,35145.84,303.90,01/05/2013 06:14:40,18/05/2013 14:36:16,1498896,24981.60,416.36,17.35,0.58,0.05
33,Cluster 33,33,73,31450.58,29257.47,39671.08,470.69,25/03/2009 17:05:56,03/05/2009 17:10:47,3369891,56164.85,936.08,39.00,1.30,0.11
34,Cluster 34,34,36,23513.23,13789.93,24311.92,198.76,06/03/2014 15:38:18,11/04/2014 13:17:12,3101934,51698.90,861.65,35.90,1.20,0.10
35,Cluster 35,35,40,25878.32,8995.48,23792.48,120.87,11/03/2007 14:20:21,12/04/2007 08:27:09,2743608,45726.80,762.11,31.75,1.06,0.09
36,Cluster 36,36,20,5303.66,13521.43,14254.08,39.17,29/02/2016 11:20:56,31/03/2016 18:02:04,2702468,45041.13,750.69,31.28,1.04,0.08
37,Cluster 37,37,57,34087.64,15799.67,34930.85,303.05,30/03/2012 19:08:26,01/05/2012 21:14:26,2772360,46206.00,770.10,32.09,1.07,0.09
38,Cluster 38,38,118,46855.22,37187.00,58226.42,912.54,25/03/2011 02:20:34,20/05/2011 07:23:01,4856547,80942.45,1349.04,56.21,1.87,0.15
39,Cluster 39,39,10,10698.64,19916.71,22051.00,91.19,28/02/2015 14:46:44,18/03/2015 19:35:56,1572552,26209.20,436.82,18.20,0.61,0.05
40,Cluster 40,40,20,3591.28,18335.81,18608.58,32.96,09/03/2014 13:59:57,24/03/2014 11:36:17,1287380,21456.33,357.61,14.90,0.50,0.04
41,Cluster 41,41,12,8998.35,4044.08,9165.88,17.18,12/05/2014 13:23:20,21/05/2014 18:49:01,797141,13285.68,221.43,9.23,0.31,0.02
42,Cluster 42,42,74,33600.11,13212.20,32537.88,229.69,08/03/2013 10:56:40,14/04/2013 11:26:46,3198606,53310.10,888.50,37.02,1.23,0.10
43,Cluster 43,43,78,37533.20,36505.77,51203.20,875.21,13/04/2014 16:13:00,15/05/2014 08:45:44,2737964,45632.73,760.55,31.69,1.06,0.09
44,Cluster 44,44,10,14884.21,16984.82,23038.90,161.08,04/04/2009 14:06:18,12/04/2009 19:11:20,709502,11825.03,197.08,8.21,0.27,0.02
45,Cluster 45,45,279,43776.31,55703.51,70346.19,1430.67,04/03/2008 08:23:27,17/04/2008 07:43:26,3799199,63319.98,1055.33,43.97,1.47,0.12
46,Cluster 46,46,74,36556.81,27626.52,40890.46,515.76,20/03/2012 18:19:07,05/05/2012 09:33:07,3942840,65714.00,1095.23,45.63,1.52,0.13
47,Cluster 47,47,45,9654.43,7076.94,11961.22,33.08,05/04/2009 15:23:19,28/04/2009 17:27:24,1994645,33244.08,554.07,23.09,0.77,0.06
48,Cluster 48,48,125,46518.12,27384.74,47147.87,874.76,15/03/2011 13:28:50,17/05/2011 07:31:27,5421757,90362.62,1506.04,62.75,2.09,0.17
49,Cluster 49,49,49,22883.35,9912.12,21855.09,134.75,17/03/2011 10:50:42,21/04/2011 20:26:02,3058520,50975.33,849.59,35.40,1.18,0.10
50,Cluster 50,50,23,21359.67,17326.28,26099.77,140.16,29/04/2009 12:37:33,15/05/2009 18:02:37,1401904,23365.07,389.42,16.23,0.54,0.04
51,Cluster 51,51,13,19152.39,15537.11,24630.76,57.78,29/01/2012 11:45:38,14/02/2012 16:40:35,1400097,23334.95,388.92,16.20,0.54,0.04
52,Cluster 52,52,24,16468.33,11953.25,18849.93,94.38,21/03/2009 09:18:12,11/04/2009 13:09:56,1828304,30471.73,507.86,21.16,0.71,0.06
53,Cluster 53,53,16,22477.08,7279.27,21181.57,57.71,04/03/2016 15:27:51,18/03/2016 21:58:06,1233015,20550.25,342.50,14.27,0.48,0.04
54,Cluster 54,54,28,19777.57,11427.27,22806.38,76.71,07/04/2015 18:35:27,27/04/2015 22:45:36,1743009,29050.15,484.17,20.17,0.67,0.05
55,Cluster 55,55,34,17458.82,9112.55,17944.09,69.29,01/04/2011 08:22:15,20/04/2011 17:11:54,1673379,27889.65,464.83,19.37,0.65,0.05
56,Cluster 56,56,24,11223.09,17036.56,19528.67,98.41,05/03/2015 08:02:07,30/03/2015 11:57:23,2174116,36235.27,603.92,25.16,0.84,0.07
57,Cluster 57,57,47,22160.79,23620.19,30214.14,313.11,09/02/2010 15:36:39,01/04/2010 00:00:00,4350201,72503.35,1208.39,50.35,1.68,0.14
58,Cluster 58,58,63,20261.07,12502.13,23782.22,72.70,26/03/2012 08:32:07,02/05/2012 06:09:18,3188231,53137.18,885.62,36.90,1.23,0.10
59,Cluster 59,59,16,14201.95,14615.80,19557.86,10.77,26/04/2008 12:44:21,12/05/2008 16:45:37,1396876,23281.27,388.02,16.17,0.54,0.04
60,Cluster 60,60,19,7235.61,7352.23,10309.60,30.19,06/03/2010 15:45:28,01/04/2010 18:52:06,2257598,37626.63,627.11,26.13,0.87,0.07
61,Cluster 61,61,15,21488.60,15851.00,26144.46,171.72,11/03/2012 17:51:34,26/03/2012 17:38:28,1295214,21586.90,359.78,14.99,0.50,0.04
62,Cluster 62,62,35,17803.98,24030.36,28164.83,220.82,14/03/2007 11:39:59,15/04/2007 09:08:48,2755729,45928.82,765.48,31.90,1.06,0.09
63,Cluster 63,63,44,36076.68,10104.27,31416.59,234.05,15/03/2008 23:38:09,22/04/2008 18:59:49,3266500,54441.67,907.36,37.81,1.26,0.10
64,Cluster 64,64,70,21108.52,7024.76,22211.07,50.33,25/03/2011 13:24:45,25/04/2011 16:29:40,2689495,44824.92,747.08,31.13,1.04,0.08
65,Cluster 65,65,44,4681.83,3708.56,5967.66,8.84,09/04/2010 18:43:59,24/04/2010 16:54:48,1289449,21490.82,358.18,14.92,0.50,0.04
66,Cluster 66,66,20,6253.18,3595.31,7204.37,8.03,06/04/2014 10:07:28,26/04/2014 15:23:26,1746958,29115.97,485.27,20.22,0.67,0.05
67,Cluster 67,67,49,23413.17,18516.51,27212.28,167.13,16/03/2012 12:51:28,21/04/2012 14:19:58,3115710,51928.50,865.48,36.06,1.20,0.10
68,Cluster 68,68,35,36562.18,22420.19,37584.52,525.26,20/02/2010 19:47:39,27/03/2010 11:40:09,2994750,49912.50,831.88,34.66,1.16,0.10
69,Cluster 69,69,31,20789.55,36784.46,41130.79,388.05,07/03/2007 10:19:40,03/04/2007 18:54:27,2363687,39394.78,656.58,27.36,0.91,0.07
70,Cluster 70,70,21,7549.89,15965.95,17557.50,52.40,02/04/2011 15:06:23,17/04/2011 11:26:19,1282796,21379.93,356.33,14.85,0.49,0.04
71,Cluster 71,71,40,4401.13,3873.14,5857.55,9.82,29/03/2008 14:27:36,27/04/2008 16:00:29,2511173,41852.88,697.55,29.06,0.97,0.08
72,Cluster 72,72,14,14396.02,15852.27,21101.18,104.33,07/04/2008 04:19:17,20/04/2008 17:42:29,1171392,19523.20,325.39,13.56,0.45,0.04
73,Cluster 73,73,12,4897.39,6214.59,7716.35,12.06,14/04/2012 12:31:41,24/04/2012 18:05:09,884008,14733.47,245.56,10.23,0.34,0.03
74,Cluster 74,74,17,18461.39,12900.86,22035.74,70.41,11/04/2015 14:11:02,19/04/2015 09:13:33,673351,11222.52,187.04,7.79,0.26,0.02
75,Cluster 75,75,21,20857.37,21166.33,29248.78,195.75,24/03/2010 00:00:00,14/04/2010 16:41:30,1874490,31241.50,520.69,21.70,0.72,0.06
76,Cluster 76,76,17,15616.17,9153.70,17671.69,54.52,12/04/2014 13:46:16,26/04/2014 15:32:23,1215967,20266.12,337.77,14.07,0.47,0.04
77,Cluster 77,77,19,5489.67,2043.68,5850.06,3.27,14/04/2007 12:41:05,02/05/2007 19:29:24,1579699,26328.32,438.81,18.28,0.61,0.05
78,Cluster 78,78,14,10261.48,7213.94,13061.46,12.92,19/03/2011 00:00:00,27/03/2011 15:51:25,748285,12471.42,207.86,8.66,0.29,0.02
79,Cluster 79,79,19,6527.83,9404.81,11207.28,28.04,11/04/2013 18:23:26,10/05/2013 13:41:51,2488705,41478.42,691.31,28.80,0.96,0.08
80,Cluster 80,80,14,20659.28,14812.62,25393.44,134.40,30/01/2010 14:36:10,17/02/2010 06:30:03,1526033,25433.88,423.90,17.66,0.59,0.05
81,Cluster 81,81,12,253.16,559.91,603.08,0.05,23/03/2012 15:36:08,02/04/2012 20:09:24,880396,14673.27,244.55,10.19,0.34,0.03
