id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
1,Cluster 1,1,49,23043.84,8863.56,22859.88,78.82,03/05/2015 16:08:37,17/05/2015 20:00:24,1223507,20391.78,339.86,14.16,0.47,0.04
2,Cluster 2,2,492,38346.41,38888.36,54169.70,943.14,03/03/2011 14:25:49,03/05/2011 11:04:29,5258320,87638.67,1460.64,60.86,2.03,0.17
3,Cluster 3,3,155,29971.90,23133.66,37468.52,381.67,05/03/2016 13:08:19,07/04/2016 00:07:27,2804348,46739.13,778.99,32.46,1.08,0.09
4,Cluster 4,4,87,39627.00,32841.75,46362.53,945.13,12/03/2014 16:17:23,02/05/2014 06:25:16,4370873,72847.88,1214.13,50.59,1.69,0.14
5,Cluster 5,5,210,30883.82,32190.64,44233.22,459.22,12/03/2015 14:26:15,27/04/2015 22:05:07,4001932,66698.87,1111.65,46.32,1.54,0.13
6,Cluster 6,6,252,30728.70,25265.14,39382.23,488.89,17/03/2014 08:44:08,29/04/2014 17:47:49,3747821,62463.68,1041.06,43.38,1.45,0.12
7,Cluster 7,7,387,28847.78,42591.84,51163.80,694.98,16/03/2010 17:39:49,16/04/2010 08:25:42,2645153,44085.88,734.76,30.62,1.02,0.08
8,Cluster 8,8,397,25531.82,37871.19,45439.01,603.39,19/03/2013 12:06:58,26/04/2013 16:57:34,3300636,55010.60,916.84,38.20,1.27,0.10
9,Cluster 9,9,345,26106.64,39673.51,47259.67,568.42,14/03/2009 13:26:01,25/04/2009 15:40:49,3636888,60614.80,1010.25,42.09,1.40,0.12
10,Cluster 10,10,419,40192.41,47517.36,61792.67,1168.31,27/02/2012 16:45:18,16/04/2012 21:37:05,4251107,70851.78,1180.86,49.20,1.64,0.13
11,Cluster 11,11,70,42382.24,32264.45,51812.53,777.68,24/03/2010 17:39:47,28/04/2010 22:05:50,3039963,50666.05,844.43,35.18,1.17,0.10
12,Cluster 12,12,54,30061.21,32737.83,43572.44,561.60,21/04/2007 04:17:58,09/05/2007 19:54:31,1611393,26856.55,447.61,18.65,0.62,0.05
13,Cluster 13,13,214,27599.42,34828.16,44157.79,532.84,25/03/2007 15:03:00,28/04/2007 11:58:08,2926508,48775.13,812.92,33.87,1.13,0.09
14,Cluster 14,14,99,43256.55,10013.08,37048.00,272.34,17/02/2015 09:04:58,25/04/2015 18:30:00,5822702,97045.03,1617.42,67.39,2.25,0.18
15,Cluster 15,15,74,39650.50,40184.22,55231.69,949.70,05/04/2009 08:01:11,09/05/2009 10:52:06,2947855,49130.92,818.85,34.12,1.14,0.09
16,Cluster 16,16,63,20834.54,10682.00,23387.88,86.31,17/03/2013 13:56:56,21/04/2013 16:31:05,3033249,50554.15,842.57,35.11,1.17,0.10
17,Cluster 17,17,35,21807.57,24460.05,30722.17,308.52,18/03/2008 19:07:34,19/04/2008 11:44:26,2738212,45636.87,760.61,31.69,1.06,0.09
18,Cluster 18,18,38,17075.38,19713.11,24835.02,184.79,21/02/2010 12:15:00,24/03/2010 09:39:41,2669081,44484.68,741.41,30.89,1.03,0.08
19,Cluster 19,19,45,28822.26,32674.20,42769.37,576.26,16/03/2016 11:34:07,06/05/2016 20:30:25,4438578,73976.30,1232.94,51.37,1.71,0.14
20,Cluster 20,20,56,42609.88,27842.85,44831.65,589.56,29/03/2009 09:21:36,03/05/2009 21:49:56,3068900,51148.33,852.47,35.52,1.18,0.10
21,Cluster 21,21,78,33071.63,26212.32,41085.93,557.07,01/04/2008 00:00:00,11/05/2008 14:38:48,3508728,58478.80,974.65,40.61,1.35,0.11
