id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
1,Cluster 1,1,50,39688.78,25318.58,44214.06,230.04,03/05/2015 16:08:37,18/05/2015 15:02:07,1292010,21533.50,358.89,14.95,0.50,0.04
2,Cluster 2,2,502,54127.10,38888.36,65921.30,1682.10,19/02/2011 16:08:29,03/05/2011 11:04:29,6288960,104816.00,1746.93,72.79,2.43,0.20
3,Cluster 3,3,163,54508.52,23133.66,58382.07,667.30,05/03/2016 13:08:19,19/04/2016 01:41:58,3846819,64113.65,1068.56,44.52,1.48,0.12
4,Cluster 4,4,87,39627.00,32841.75,46362.53,945.13,12/03/2014 16:17:23,02/05/2014 06:25:16,4370873,72847.88,1214.13,50.59,1.69,0.14
5,Cluster 5,5,48,23513.23,50606.20,54399.88,642.32,01/03/2014 06:35:02,27/04/2014 14:18:18,4952596,82543.27,1375.72,57.32,1.91,0.16
6,Cluster 6,6,218,37046.35,32190.64,48585.07,526.62,18/02/2015 11:02:04,27/04/2015 22:05:07,5914983,98583.05,1643.05,68.46,2.28,0.19
7,Cluster 7,7,254,69172.48,25265.14,72545.89,1186.10,17/03/2014 08:44:08,29/04/2014 17:47:49,3747821,62463.68,1041.06,43.38,1.45,0.12
8,Cluster 8,8,96,107336.91,53856.23,116092.28,2571.69,11/04/2015 13:17:57,19/05/2015 01:47:12,3241755,54029.25,900.49,37.52,1.25,0.10
9,Cluster 9,9,398,86333.81,89738.04,123318.97,3088.90,16/03/2010 17:39:49,16/04/2010 08:25:42,2645153,44085.88,734.76,30.62,1.02,0.08
10,Cluster 10,10,401,40925.04,45711.22,60907.43,1238.31,19/03/2013 12:06:58,03/05/2013 06:48:27,3868889,64481.48,1074.69,44.78,1.49,0.12
11,Cluster 11,11,362,79041.79,94195.69,122038.27,4177.71,14/03/2009 13:26:01,09/05/2009 17:45:12,4853951,80899.18,1348.32,56.18,1.87,0.15
12,Cluster 12,12,424,40192.41,47517.36,61792.67,1241.67,12/02/2012 19:08:42,16/04/2012 21:37:05,5538503,92308.38,1538.47,64.10,2.14,0.18
13,Cluster 13,13,13,41667.74,44691.08,61130.57,606.64,10/02/2007 19:05:20,24/02/2007 16:00:25,1198505,19975.08,332.92,13.87,0.46,0.04
