id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
53,Cluster 53,53,125,46518.12,27384.74,47147.87,874.76,15/03/2011 13:28:50,17/05/2011 07:31:27,5421757,90362.62,1506.04,62.75,2.09,0.17
54,Cluster 54,54,13,37583.56,14546.23,39212.49,235.99,03/04/2012 11:52:04,28/04/2012 21:27:07,2194503,36575.05,609.58,25.40,0.85,0.07
55,Cluster 55,55,49,22883.35,9912.12,21855.09,134.75,17/03/2011 10:50:42,21/04/2011 20:26:02,3058520,50975.33,849.59,35.40,1.18,0.10
56,Cluster 56,56,23,21359.67,17326.28,26099.77,140.16,29/04/2009 12:37:33,15/05/2009 18:02:37,1401904,23365.07,389.42,16.23,0.54,0.04
57,Cluster 57,57,21,29617.34,26365.87,39591.72,94.42,29/01/2012 11:45:38,03/03/2012 00:44:57,2897959,48299.32,804.99,33.54,1.12,0.09
58,Cluster 58,58,25,21389.89,15167.65,24261.69,137.96,15/03/2009 15:53:35,11/04/2009 13:09:56,2322981,38716.35,645.27,26.89,0.90,0.07
59,Cluster 59,59,16,22477.08,7279.27,21181.57,57.71,04/03/2016 15:27:51,18/03/2016 21:58:06,1233015,20550.25,342.50,14.27,0.48,0.04
60,Cluster 60,60,10,1223.51,908.58,1522.45,0.08,10/04/2016 02:03:24,17/04/2016 14:11:41,648497,10808.28,180.14,7.51,0.25,0.02
61,Cluster 61,61,28,19777.57,11427.27,22806.38,76.71,07/04/2015 18:35:27,27/04/2015 22:45:36,1743009,29050.15,484.17,20.17,0.67,0.05
62,Cluster 62,62,34,17458.82,9112.55,17944.09,69.29,01/04/2011 08:22:15,20/04/2011 17:11:54,1673379,27889.65,464.83,19.37,0.65,0.05
63,Cluster 63,63,28,11223.09,45685.77,46677.21,324.18,05/03/2015 08:02:07,30/03/2015 11:57:23,2174116,36235.27,603.92,25.16,0.84,0.07
64,Cluster 64,64,47,22160.79,23620.19,30214.14,313.11,09/02/2010 15:36:39,01/04/2010 00:00:00,4350201,72503.35,1208.39,50.35,1.68,0.14
65,Cluster 65,65,67,20261.07,12502.13,23782.22,73.21,18/03/2012 18:10:55,07/05/2012 09:29:50,4288735,71478.92,1191.32,49.64,1.65,0.14
66,Cluster 66,66,19,16695.30,14615.80,21142.77,26.59,26/04/2008 12:44:21,22/05/2008 20:04:55,2272834,37880.57,631.34,26.31,0.88,0.07
67,Cluster 67,67,16,20708.30,14881.33,25470.12,100.36,03/02/2011 09:17:27,22/02/2011 00:27:54,1609827,26830.45,447.17,18.63,0.62,0.05
68,Cluster 68,68,19,7235.61,7352.23,10309.60,30.19,06/03/2010 15:45:28,01/04/2010 18:52:06,2257598,37626.63,627.11,26.13,0.87,0.07
69,Cluster 69,69,15,21488.60,15851.00,26144.46,171.72,11/03/2012 17:51:34,26/03/2012 17:38:28,1295214,21586.90,359.78,14.99,0.50,0.04
70,Cluster 70,70,41,17810.69,24030.36,28167.72,221.23,14/03/2007 11:39:59,03/05/2007 01:20:24,4282825,71380.42,1189.67,49.57,1.65,0.14
71,Cluster 71,71,72,21108.52,7024.76,22211.07,50.33,25/03/2011 13:24:45,01/05/2011 12:28:04,3193399,53223.32,887.06,36.96,1.23,0.10
72,Cluster 72,72,44,4681.83,3708.56,5967.66,8.84,09/04/2010 18:43:59,24/04/2010 16:54:48,1289449,21490.82,358.18,14.92,0.50,0.04
73,Cluster 73,73,20,6253.18,3595.31,7204.37,8.03,06/04/2014 10:07:28,26/04/2014 15:23:26,1746958,29115.97,485.27,20.22,0.67,0.05
74,Cluster 74,74,53,23413.17,18516.51,27212.28,173.54,10/03/2012 03:44:43,30/04/2012 10:48:54,4431851,73864.18,1231.07,51.29,1.71,0.14
75,Cluster 75,75,43,36562.18,22420.19,37584.52,525.26,06/02/2010 11:01:49,27/03/2010 11:40:09,4235900,70598.33,1176.64,49.03,1.63,0.13
76,Cluster 76,76,35,20789.55,36784.46,41130.79,388.05,07/03/2007 10:19:40,07/04/2007 07:03:40,2666640,44444.00,740.73,30.86,1.03,0.08
77,Cluster 77,77,21,7549.89,15965.95,17557.50,52.40,02/04/2011 15:06:23,17/04/2011 11:26:19,1282796,21379.93,356.33,14.85,0.49,0.04
78,Cluster 78,78,14,14396.02,15852.27,21101.18,104.33,07/04/2008 04:19:17,20/04/2008 17:42:29,1171392,19523.20,325.39,13.56,0.45,0.04
79,Cluster 79,79,12,4897.39,6214.59,7716.35,12.06,14/04/2012 12:31:41,24/04/2012 18:05:09,884008,14733.47,245.56,10.23,0.34,0.03
80,Cluster 80,80,15,20527.66,12104.68,23794.31,16.90,17/03/2007 13:02:12,04/04/2007 23:44:44,1593752,26562.53,442.71,18.45,0.61,0.05
81,Cluster 81,81,17,18461.39,12900.86,22035.74,70.41,11/04/2015 14:11:02,19/04/2015 09:13:33,673351,11222.52,187.04,7.79,0.26,0.02
82,Cluster 82,82,21,20857.37,21166.33,29248.78,195.75,24/03/2010 00:00:00,14/04/2010 16:41:30,1874490,31241.50,520.69,21.70,0.72,0.06
83,Cluster 83,83,16,15729.66,1952.05,14056.61,14.11,16/03/2012 23:06:43,12/04/2012 13:10:29,2297026,38283.77,638.06,26.59,0.89,0.07
84,Cluster 84,84,10,30693.78,9921.88,33734.79,47.67,02/03/2013 09:59:45,22/03/2013 17:53:03,1756398,29273.30,487.89,20.33,0.68,0.05
85,Cluster 85,85,10,8925.83,4777.91,10609.42,1.79,19/03/2009 17:04:24,29/03/2009 20:17:09,875565,14592.75,243.21,10.13,0.34,0.03
86,Cluster 86,86,18,15616.17,9153.70,17671.69,54.52,12/04/2014 13:46:16,26/04/2014 15:32:23,1215967,20266.12,337.77,14.07,0.47,0.04
87,Cluster 87,87,13,13856.12,8780.00,14403.12,54.92,04/04/2010 14:24:25,21/04/2010 07:29:36,1443911,24065.18,401.09,16.71,0.56,0.05
88,Cluster 88,88,20,5489.67,2043.68,5850.06,3.27,14/04/2007 12:41:05,07/05/2007 07:49:32,1969707,32828.45,547.14,22.80,0.76,0.06
89,Cluster 89,89,14,10261.48,7213.94,13061.46,12.92,19/03/2011 00:00:00,27/03/2011 15:51:25,748285,12471.42,207.86,8.66,0.29,0.02
90,Cluster 90,90,14,6696.39,6738.44,9191.29,26.59,17/04/2011 14:01:33,13/05/2011 08:14:57,2225604,37093.40,618.22,25.76,0.86,0.07
91,Cluster 91,91,19,6527.83,9404.81,11207.28,28.04,11/04/2013 18:23:26,10/05/2013 13:41:51,2488705,41478.42,691.31,28.80,0.96,0.08
92,Cluster 92,92,15,20659.28,14812.62,25393.44,134.40,30/01/2010 14:36:10,17/02/2010 06:30:03,1526033,25433.88,423.90,17.66,0.59,0.05
93,Cluster 93,93,11,14552.48,31303.27,34330.69,116.72,13/03/2016 09:32:16,03/04/2016 19:41:26,1850950,30849.17,514.15,21.42,0.71,0.06
94,Cluster 94,94,10,5961.07,5724.67,7598.32,9.64,14/02/2010 14:07:03,08/03/2010 16:22:05,1908902,31815.03,530.25,22.09,0.74,0.06
95,Cluster 95,95,10,10428.02,14709.96,17904.53,0.14,12/02/2008 11:02:56,26/02/2008 08:46:15,1201399,20023.32,333.72,13.91,0.46,0.04
96,Cluster 96,96,12,11797.24,2835.61,11446.02,17.28,24/04/2013 09:04:36,19/05/2013 08:28:31,2157835,35963.92,599.40,24.97,0.83,0.07
