id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
1,Cluster 1,1,49,23043.84,8863.56,22859.88,78.82,03/05/2015 16:08:37,17/05/2015 20:00:24,1223507,20391.78,339.86,14.16,0.47,0.04
2,Cluster 2,2,496,51975.55,38888.36,64224.97,1216.73,19/02/2011 16:08:29,03/05/2011 11:04:29,6288960,104816.00,1746.93,72.79,2.43,0.20
3,Cluster 3,3,161,29971.90,23133.66,37468.52,381.67,05/03/2016 13:08:19,19/04/2016 01:41:58,3846819,64113.65,1068.56,44.52,1.48,0.12
4,Cluster 4,4,87,39627.00,32841.75,46362.53,945.13,12/03/2014 16:17:23,02/05/2014 06:25:16,4370873,72847.88,1214.13,50.59,1.69,0.14
5,Cluster 5,5,217,37046.35,32190.64,48585.07,526.62,22/02/2015 10:31:35,27/04/2015 22:05:07,5571212,92853.53,1547.56,64.48,2.15,0.18
6,Cluster 6,6,252,30728.70,25265.14,39382.23,488.89,17/03/2014 08:44:08,29/04/2014 17:47:49,3747821,62463.68,1041.06,43.38,1.45,0.12
7,Cluster 7,7,392,45112.63,42591.84,61477.27,1144.68,16/03/2010 17:39:49,16/04/2010 08:25:42,2645153,44085.88,734.76,30.62,1.02,0.08
8,Cluster 8,8,398,25531.82,37871.19,45439.01,603.39,19/03/2013 12:06:58,03/05/2013 06:48:27,3868889,64481.48,1074.69,44.78,1.49,0.12
9,Cluster 9,9,351,37727.27,57225.45,68183.13,897.45,14/03/2009 13:26:01,09/05/2009 17:45:12,4853951,80899.18,1348.32,56.18,1.87,0.15
10,Cluster 10,10,424,40192.41,47517.36,61792.67,1241.67,12/02/2012 19:08:42,16/04/2012 21:37:05,5538503,92308.38,1538.47,64.10,2.14,0.18
11,Cluster 11,11,74,42382.24,32264.45,51812.53,777.68,24/03/2010 17:39:47,10/05/2010 11:52:31,4039964,67332.73,1122.21,46.76,1.56,0.13
12,Cluster 12,12,55,35497.83,32737.83,47166.23,693.96,21/04/2007 04:17:58,09/05/2007 19:54:31,1611393,26856.55,447.61,18.65,0.62,0.05
13,Cluster 13,13,214,27599.42,34828.16,44157.79,532.84,25/03/2007 15:03:00,28/04/2007 11:58:08,2926508,48775.13,812.92,33.87,1.13,0.09
14,Cluster 14,14,99,43256.55,10013.08,37048.00,272.34,17/02/2015 09:04:58,25/04/2015 18:30:00,5822702,97045.03,1617.42,67.39,2.25,0.18
15,Cluster 15,15,81,70023.29,43354.93,79730.98,1449.71,28/03/2009 06:43:05,09/05/2009 10:52:06,3643741,60729.02,1012.15,42.17,1.41,0.12
16,Cluster 16,16,63,20834.54,10682.00,23387.88,86.31,17/03/2013 13:56:56,21/04/2013 16:31:05,3033249,50554.15,842.57,35.11,1.17,0.10
17,Cluster 17,17,294,46467.09,55703.51,71989.29,1511.17,22/02/2008 00:31:48,27/04/2008 15:29:21,5669853,94497.55,1574.96,65.62,2.19,0.18
18,Cluster 18,18,42,24672.27,29060.65,35867.51,459.56,18/03/2008 19:07:34,09/05/2008 12:09:31,4467717,74461.95,1241.03,51.71,1.72,0.14
19,Cluster 19,19,40,17075.38,19713.11,24835.02,184.79,21/02/2010 12:15:00,02/04/2010 23:52:20,3497840,58297.33,971.62,40.48,1.35,0.11
20,Cluster 20,20,53,39007.86,41230.23,55617.84,973.34,16/03/2016 11:34:07,11/05/2016 12:44:52,4842645,80710.75,1345.18,56.05,1.87,0.15
21,Cluster 21,21,57,42609.88,27842.85,44831.65,589.56,29/03/2009 09:21:36,09/05/2009 12:13:26,3552710,59211.83,986.86,41.12,1.37,0.11
22,Cluster 22,22,81,33071.63,26215.29,41087.82,557.10,23/03/2008 12:32:17,11/05/2008 14:38:48,4241191,70686.52,1178.11,49.09,1.64,0.13
23,Cluster 23,23,87,39289.89,28378.58,47110.35,792.42,11/04/2015 13:17:57,19/05/2015 01:47:12,3241755,54029.25,900.49,37.52,1.25,0.10
24,Cluster 24,24,122,53895.43,38303.43,64242.20,1440.64,26/03/2013 19:09:19,08/05/2013 19:19:24,3715805,61930.08,1032.17,43.01,1.43,0.12
25,Cluster 25,25,36,31224.95,26216.14,40014.68,402.25,28/03/2013 10:52:38,22/04/2013 18:37:17,2187879,36464.65,607.74,25.32,0.84,0.07
26,Cluster 26,26,50,20870.80,22773.53,30858.80,130.39,15/03/2008 11:22:01,27/04/2008 16:00:29,3731908,62198.47,1036.64,43.19,1.44,0.12
27,Cluster 27,27,55,20310.76,27986.22,33565.10,300.51,06/04/2010 15:52:26,06/05/2010 20:24:16,2608310,43471.83,724.53,30.19,1.01,0.08
28,Cluster 28,28,55,8101.20,20629.33,21750.14,92.07,18/03/2013 14:23:07,14/04/2013 12:18:19,2325312,38755.20,645.92,26.91,0.90,0.07
29,Cluster 29,29,56,33108.56,27605.73,38826.89,494.00,04/03/2016 13:36:28,20/04/2016 18:34:36,4078688,67978.13,1132.97,47.21,1.57,0.13
30,Cluster 30,30,90,35308.46,22613.62,36877.38,475.69,09/03/2013 19:05:28,05/05/2013 17:21:55,4918587,81976.45,1366.27,56.93,1.90,0.16
31,Cluster 31,31,14,23684.47,13793.32,27371.23,148.11,31/01/2009 12:00:28,15/02/2009 02:40:56,1262428,21040.47,350.67,14.61,0.49,0.04
32,Cluster 32,32,67,26296.00,31901.35,39923.44,345.05,27/04/2011 11:35:47,01/06/2011 13:23:43,3030476,50507.93,841.80,35.07,1.17,0.10
33,Cluster 33,33,110,59948.50,29327.46,64424.20,938.74,11/03/2012 10:42:12,01/05/2012 22:47:11,4449899,74164.98,1236.08,51.50,1.72,0.14
34,Cluster 34,34,60,35169.45,16011.33,35909.68,322.92,01/05/2013 06:14:40,23/05/2013 14:10:32,1929352,32155.87,535.93,22.33,0.74,0.06
35,Cluster 35,35,78,31450.58,29257.47,39671.08,470.69,19/03/2009 17:00:51,08/05/2009 16:35:31,4318480,71974.67,1199.58,49.98,1.67,0.14
36,Cluster 36,36,39,23513.23,13789.93,24311.92,198.76,01/03/2014 06:35:02,13/04/2014 12:10:18,3735316,62255.27,1037.59,43.23,1.44,0.12
37,Cluster 37,37,53,37840.08,10104.27,32796.70,246.07,15/03/2008 23:38:09,11/05/2008 10:41:40,4878211,81303.52,1355.06,56.46,1.88,0.15
38,Cluster 38,38,43,25878.32,12375.73,25259.44,162.03,08/03/2007 13:19:16,12/04/2007 08:27:09,3006473,50107.88,835.13,34.80,1.16,0.10
39,Cluster 39,39,20,5303.66,13521.43,14254.08,39.17,29/02/2016 11:20:56,31/03/2016 18:02:04,2702468,45041.13,750.69,31.28,1.04,0.08
40,Cluster 40,40,58,39028.00,15799.67,39011.17,329.70,30/03/2012 19:08:26,03/05/2012 20:29:14,2942448,49040.80,817.35,34.06,1.14,0.09
41,Cluster 41,41,119,46855.22,37187.00,58226.42,912.54,20/03/2011 13:38:49,20/05/2011 07:23:01,5247852,87464.20,1457.74,60.74,2.02,0.17
42,Cluster 42,42,22,26527.01,22316.27,32383.41,301.76,28/02/2015 14:46:44,13/04/2015 11:42:21,3790537,63175.62,1052.93,43.87,1.46,0.12
43,Cluster 43,43,20,3591.28,18335.81,18608.58,32.96,09/03/2014 13:59:57,24/03/2014 11:36:17,1287380,21456.33,357.61,14.90,0.50,0.04
44,Cluster 44,44,16,17599.16,7146.50,17143.56,66.93,05/03/2008 18:29:27,01/04/2008 00:00:00,2266233,37770.55,629.51,26.23,0.87,0.07
45,Cluster 45,45,12,8998.35,4044.08,9165.88,17.18,12/05/2014 13:23:20,21/05/2014 18:49:01,797141,13285.68,221.43,9.23,0.31,0.02
46,Cluster 46,46,74,33600.11,13212.20,32537.88,229.69,08/03/2013 10:56:40,14/04/2013 11:26:46,3198606,53310.10,888.50,37.02,1.23,0.10
47,Cluster 47,47,15,32597.54,32365.83,45914.38,483.87,10/02/2013 12:09:10,09/03/2013 13:21:54,2337164,38952.73,649.21,27.05,0.90,0.07
48,Cluster 48,48,78,37533.20,36505.77,51203.20,875.21,13/04/2014 16:13:00,15/05/2014 08:45:44,2737964,45632.73,760.55,31.69,1.06,0.09
49,Cluster 49,49,16,33257.64,16988.21,38708.55,299.23,28/03/2009 11:26:16,25/04/2009 12:39:49,2423613,40393.55,673.23,28.05,0.94,0.08
50,Cluster 50,50,14,27291.20,11018.79,30602.50,135.87,10/04/2010 11:56:49,06/05/2010 13:20:43,2251434,37523.90,625.40,26.06,0.87,0.07
51,Cluster 51,51,76,36556.81,27626.52,40890.46,518.53,20/03/2012 18:19:07,06/05/2012 14:00:16,4045269,67421.15,1123.69,46.82,1.56,0.13
52,Cluster 52,52,55,11859.02,11244.03,16329.77,52.77,14/03/2009 12:09:32,28/04/2009 17:27:24,3907072,65117.87,1085.30,45.22,1.51,0.12
