id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
38,Cluster 38,38,100,29536.75,37187.00,46696.88,675.34,07/04/2011 11:17:07,11/05/2011 08:20:49,2927022,48783.70,813.06,33.88,1.13,0.09
39,Cluster 39,39,19,3591.28,18335.81,18608.58,32.96,15/03/2014 12:56:53,24/03/2014 11:36:17,772764,12879.40,214.66,8.94,0.30,0.02
40,Cluster 40,40,13,15787.41,23606.19,27656.96,118.35,12/05/2014 13:23:20,22/05/2014 10:55:04,855104,14251.73,237.53,9.90,0.33,0.03
41,Cluster 41,41,72,36685.07,33087.77,46390.75,750.89,17/03/2013 10:31:31,04/04/2013 09:55:42,1553051,25884.18,431.40,17.98,0.60,0.05
42,Cluster 42,42,79,58724.32,36505.77,66994.94,1197.66,13/04/2014 16:13:00,15/05/2014 08:45:44,2737964,45632.73,760.55,31.69,1.06,0.09
43,Cluster 43,43,10,30413.09,16984.82,36057.52,262.79,04/04/2009 10:41:36,06/04/2009 15:08:06,188790,3146.50,52.44,2.19,0.07,0.01
44,Cluster 44,44,275,49138.39,55703.51,73677.89,1556.31,17/03/2008 21:29:10,17/04/2008 07:43:26,2628856,43814.27,730.24,30.43,1.01,0.08
45,Cluster 45,45,62,36556.81,27626.52,40890.46,515.76,20/03/2012 18:19:07,17/04/2012 19:25:00,2423153,40385.88,673.10,28.05,0.93,0.08
46,Cluster 46,46,10,6179.32,5063.80,7909.70,15.01,21/03/2014 13:03:49,26/03/2014 14:46:06,438137,7302.28,121.70,5.07,0.17,0.01
47,Cluster 47,47,12,16788.64,24859.20,29996.64,125.23,10/04/2009 13:56:40,13/04/2009 12:21:41,253501,4225.02,70.42,2.93,0.10,0.01
48,Cluster 48,48,110,37864.26,35592.10,47372.75,967.49,31/03/2011 17:00:52,12/05/2011 10:54:45,3606833,60113.88,1001.90,41.75,1.39,0.12
49,Cluster 49,49,48,22883.35,9912.12,21855.09,134.75,17/03/2011 10:50:42,17/04/2011 16:05:51,2697309,44955.15,749.25,31.22,1.04,0.08
50,Cluster 50,50,21,21359.67,17323.73,26098.08,139.88,29/04/2009 12:37:33,08/05/2009 18:40:54,799401,13323.35,222.06,9.25,0.31,0.02
51,Cluster 51,51,11,18903.25,12948.37,22881.06,35.58,29/01/2012 11:45:38,06/02/2012 15:12:07,703589,11726.48,195.44,8.14,0.27,0.02
52,Cluster 52,52,20,1208.73,7350.53,7427.91,4.52,27/03/2009 11:28:50,07/04/2009 11:00:43,948713,15811.88,263.53,10.98,0.37,0.03
53,Cluster 53,53,16,22477.08,7279.27,21181.57,57.71,04/03/2016 15:27:51,18/03/2016 21:58:06,1233015,20550.25,342.50,14.27,0.48,0.04
54,Cluster 54,54,16,4992.74,1908.36,5338.16,2.65,16/04/2015 12:55:48,23/04/2015 00:23:21,559653,9327.55,155.46,6.48,0.22,0.02
55,Cluster 55,55,31,16683.21,9112.55,17356.01,65.99,01/04/2011 08:22:15,12/04/2011 14:23:54,972099,16201.65,270.03,11.25,0.38,0.03
56,Cluster 56,56,26,11223.09,45685.77,46677.21,324.18,05/03/2015 08:02:07,26/03/2015 16:59:38,1846651,30777.52,512.96,21.37,0.71,0.06
57,Cluster 57,57,33,22160.79,31398.71,36636.39,390.98,06/03/2010 10:18:18,27/03/2010 16:08:52,1835434,30590.57,509.84,21.24,0.71,0.06
58,Cluster 58,58,39,6425.09,5282.68,8310.09,13.67,21/04/2012 09:24:33,26/04/2012 22:11:19,478006,7966.77,132.78,5.53,0.18,0.02
59,Cluster 59,59,16,34619.48,55326.84,65276.81,641.71,03/02/2011 09:17:27,18/02/2011 13:51:28,1312441,21874.02,364.57,15.19,0.51,0.04
60,Cluster 60,60,14,5986.59,3068.91,6719.79,10.91,18/03/2010 20:21:41,28/03/2010 11:17:34,831353,13855.88,230.93,9.62,0.32,0.03
61,Cluster 61,61,13,21488.60,15851.00,26144.46,171.72,22/03/2012 14:18:57,26/03/2012 17:38:28,357571,5959.52,99.33,4.14,0.14,0.01
62,Cluster 62,62,27,17803.98,13069.68,19651.62,127.67,25/03/2007 15:06:47,10/04/2007 11:09:09,1368142,22802.37,380.04,15.83,0.53,0.04
63,Cluster 63,63,36,36938.23,51562.71,63460.66,446.73,16/04/2009 16:35:26,26/04/2009 13:18:36,852190,14203.17,236.72,9.86,0.33,0.03
64,Cluster 64,64,17,6995.88,8451.69,10232.15,38.06,26/03/2008 12:17:42,05/04/2008 14:33:18,872136,14535.60,242.26,10.09,0.34,0.03
65,Cluster 65,65,35,16519.36,5905.79,17514.56,10.45,15/04/2011 17:24:01,18/04/2011 21:23:11,273550,4559.17,75.99,3.17,0.11,0.01
66,Cluster 66,66,43,4681.83,3708.56,5967.66,8.84,09/04/2010 18:43:59,21/04/2010 10:43:16,1007957,16799.28,279.99,11.67,0.39,0.03
67,Cluster 67,67,13,20516.24,7395.07,18459.38,74.33,10/04/2008 11:25:45,14/04/2008 23:55:56,390611,6510.18,108.50,4.52,0.15,0.01
68,Cluster 68,68,37,18165.25,18516.51,24129.36,82.59,28/03/2012 17:07:15,16/04/2012 15:12:05,1634690,27244.83,454.08,18.92,0.63,0.05
69,Cluster 69,69,12,26522.31,40789.94,46598.27,360.51,16/03/2012 12:51:28,25/03/2012 16:27:01,790533,13175.55,219.59,9.15,0.30,0.02
70,Cluster 70,70,20,24607.81,11255.48,23195.55,142.59,27/02/2010 11:00:13,10/03/2010 09:22:29,944536,15742.27,262.37,10.93,0.36,0.03
71,Cluster 71,71,13,33956.69,61252.57,69702.27,1040.69,16/04/2009 14:42:27,25/04/2009 15:40:49,781102,13018.37,216.97,9.04,0.30,0.02
72,Cluster 72,72,17,51592.79,36722.95,61486.24,960.18,21/04/2007 04:17:58,26/04/2007 15:34:46,472608,7876.80,131.28,5.47,0.18,0.01
73,Cluster 73,73,45,33659.21,22613.62,35812.29,448.36,27/03/2013 11:04:20,08/04/2013 10:49:49,1035929,17265.48,287.76,11.99,0.40,0.03
74,Cluster 74,74,24,38674.11,32674.20,49384.86,803.97,20/04/2016 11:09:42,30/04/2016 13:27:05,872243,14537.38,242.29,10.10,0.34,0.03
75,Cluster 75,75,28,20789.55,36784.46,41130.79,388.05,11/03/2007 13:00:20,24/03/2007 13:00:39,1123219,18720.32,312.01,13.00,0.43,0.04
76,Cluster 76,76,21,7549.89,15965.95,17557.50,52.40,02/04/2011 15:06:23,17/04/2011 11:26:19,1282796,21379.93,356.33,14.85,0.49,0.04
77,Cluster 77,77,14,3833.03,3384.49,5109.41,3.60,07/04/2013 16:08:10,14/04/2013 13:05:23,593833,9897.22,164.95,6.87,0.23,0.02
78,Cluster 78,78,20,21108.52,29224.39,36046.16,319.00,25/03/2011 13:24:45,05/04/2011 20:48:07,977002,16283.37,271.39,11.31,0.38,0.03
79,Cluster 79,79,10,13942.07,25921.76,29216.80,3.88,07/04/2008 17:28:52,16/04/2008 08:28:16,745164,12419.40,206.99,8.62,0.29,0.02
80,Cluster 80,80,17,18461.39,12900.86,22035.74,70.41,11/04/2015 14:11:02,19/04/2015 09:13:33,673351,11222.52,187.04,7.79,0.26,0.02
81,Cluster 81,81,18,20857.37,21166.33,29248.78,195.75,31/03/2010 15:19:08,11/04/2010 14:13:06,946438,15773.97,262.90,10.95,0.37,0.03
82,Cluster 82,82,19,1352.44,788.97,1563.95,0.22,18/04/2008 16:39:34,21/04/2008 06:04:56,221122,3685.37,61.42,2.56,0.09,0.01
83,Cluster 83,83,13,17671.02,23620.19,27993.34,248.00,16/02/2010 12:09:31,03/03/2010 03:49:10,1265979,21099.65,351.66,14.65,0.49,0.04
84,Cluster 84,84,15,36828.78,18006.23,35329.91,373.22,15/03/2011 13:28:50,27/03/2011 09:35:04,1022774,17046.23,284.10,11.84,0.39,0.03
85,Cluster 85,85,13,3332.75,1802.74,3784.72,0.40,14/04/2012 08:28:25,15/04/2012 15:33:32,111907,1865.12,31.09,1.30,0.04,0.00
86,Cluster 86,86,13,2191.84,1049.83,2427.22,1.03,21/04/2007 11:03:43,23/04/2007 16:53:02,193759,3229.32,53.82,2.24,0.07,0.01
87,Cluster 87,87,14,10261.48,7213.94,13061.46,12.92,19/03/2011 00:00:00,27/03/2011 15:51:25,748285,12471.42,207.86,8.66,0.29,0.02
88,Cluster 88,88,13,3924.36,3870.17,5423.68,3.01,12/04/2014 13:46:16,20/04/2014 15:55:34,698958,11649.30,194.16,8.09,0.27,0.02
89,Cluster 89,89,10,36499.73,17839.10,35011.66,459.62,13/03/2010 16:54:42,21/03/2010 18:06:33,695511,11591.85,193.20,8.05,0.27,0.02
90,Cluster 90,90,11,6410.32,9367.48,11116.52,27.48,18/04/2013 09:06:55,27/04/2013 11:13:22,785187,13086.45,218.11,9.09,0.30,0.02
91,Cluster 91,91,12,15671.23,20371.00,25093.60,65.55,14/04/2012 12:31:41,20/04/2012 18:53:45,541324,9022.07,150.37,6.27,0.21,0.02
92,Cluster 92,92,12,1761.39,2566.26,3110.94,1.62,18/04/2014 21:04:50,23/04/2014 04:15:16,371426,6190.43,103.17,4.30,0.14,0.01
93,Cluster 93,93,12,1775.50,1872.31,2578.25,0.43,10/04/2008 17:58:48,13/04/2008 15:18:32,249584,4159.73,69.33,2.89,0.10,0.01
94,Cluster 94,94,15,3690.67,3655.54,5190.43,6.21,09/04/2011 11:08:21,11/04/2011 18:45:04,200203,3336.72,55.61,2.32,0.08,0.01
95,Cluster 95,95,17,44075.81,35299.42,55905.26,810.27,17/04/2011 14:19:36,27/04/2011 20:34:34,886498,14774.97,246.25,10.26,0.34,0.03
96,Cluster 96,96,10,25878.32,3675.48,22328.80,58.37,16/03/2007 17:12:24,20/03/2007 12:55:17,330173,5502.88,91.71,3.82,0.13,0.01
97,Cluster 97,97,11,17533.36,14698.94,22596.51,83.33,13/04/2008 16:45:51,27/04/2008 15:29:21,1205010,20083.50,334.73,13.95,0.46,0.04
